Food_Code,Display_Name,Grains,Vegetables,Fruits,Milk,Meats,Solid_Fats,Added_Sugars,Calories,Saturated_Fats
26317140,Fried scallops (floured or breaded),0.0976,0,0,0.00112,0.43424,14.16816,0.36409,34.72,0.3536
26317140,Fried scallops (floured or breaded),0.69174,0,0,0.00794,3.07768,100.41683,2.58049,246.078,2.50614
26319120,"Baked, broiled, or sauteed shrimp",0,0,0,0,2.44543,19.2357,0,111.65,0.68875
26319120,"Baked, broiled, or sauteed shrimp",0,0,0,0,0.3373,2.65321,0,15.40003,0.095
26319120,"Baked, broiled, or sauteed shrimp",0,0,0,0,4,29.71584,0,172.48,1.064
26319120,"Baked, broiled, or sauteed shrimp",0,0,0,0,1.6865,13.266,0,77,0.475
26319120,"Baked, broiled, or sauteed shrimp",0,0,0,0,1.3492,10.6128,0,61.6,0.38
26319130,Steamed or boiled shrimp,0,0,0,0,4,0,0,154.56,0.4816
26319130,Steamed or boiled shrimp,0,0,0,0,2.55708,0,0,100.05,0.31175
26319130,Steamed or boiled shrimp,0,0,0,0,0.3527,0,0,13.80003,0.043
26319130,Steamed or boiled shrimp,0,0,0,0,1.7635,0,0,69,0.215
26319130,Steamed or boiled shrimp,0,0,0,0,1.4108,0,0,55.2,0.172
26319140,Fried shrimp (breaded or battered),0.96096,0,0,0,2.89856,100.4472,1.52918,274.4,2.9008
26319140,Fried shrimp (breaded or battered),0.55341,0,0,0,1.66926,57.84682,0.88064,158.025,1.67055
26319140,Fried shrimp (breaded or battered),0.21441,0,0,0,0.64674,22.41228,0.3412,61.2255,0.64724
26319140,Fried shrimp (breaded or battered),0.9438,0,0,0,2.8468,98.6535,1.50187,269.5,2.849
26319140,Fried shrimp (breaded or battered),0.5148,0,0,0,1.5528,53.811,0.8192,147,1.554
27111050,Spaghetti sauce (with meat),0,0.46688,0,0,0.71214,20.81889,2.1248,140.685,2.07915
27111410,Chili con carne (with beans),0,0.35052,0,0,0.86868,25.29459,2.12619,132.08,1.9939
27111500,Beef sloppy joe (no bun),0,0.41792,0,0,1.56248,46.06101,18.35889,185.74,3.5391
27112010,Salisbury steak with gravy,0.6579,0.03612,0,0.02709,1.80084,65.00439,0.96451,218.01,4.773
27115100,Teriyaki steak with sauce,0,0,0.08906,0,2.61812,0.17568,5.96879,226.92,2.806
27116100,Beef curry,0,0.28792,0.02596,0,1.76292,109.57716,0,215.94,3.3748
27116200,Beef with BBQ sauce,0.08416,0.00526,0,0,3.56365,4.734,4.95877,228.81,3.95815
27116200,Beef with BBQ sauce,0.03712,0.00232,0,0,1.5718,2.088,2.18714,100.92,1.7458
27120030,Pork or ham with BBQ sauce,0.0789,0.00526,0,0,3.53077,28.08445,4.70228,236.7,4.1554
27120030,Pork or ham with BBQ sauce,0.0348,0.00232,0,0,1.5573,12.38706,2.07401,104.4,1.8328
27120060,Sweet & sour pork,0.11752,0.1469,0.14351,0,0.77518,2.18655,15.88747,115.26,1.0622
27120120,Sausage gravy,0.2976,0,0,0.4068,0.5964,105.6888,0,187.2,4.2
27141000,Chicken cacciatore,0.312,0.53,0,0,3.256,94.788,0,382,5.18
27141000,Chicken cacciatore,0.19032,0.3233,0,0,1.98616,57.82068,0,233.02,3.1598
27141000,Chicken cacciatore,0.195,0.33125,0,0,2.035,59.2425,0,238.75,3.2375
27145000,Chicken teriyaki,0,0.0576,0,0,3.1168,0,11.33879,190.72,0.9344
27145000,Chicken teriyaki,0,0.0549,0,0,2.9707,0,10.80728,181.78,0.8906
27145000,Chicken teriyaki,0,0.0342,0,0,1.8506,0,6.73241,113.24,0.5548
27146000,Chicken with BBQ sauce,0.06273,0.00492,0,0,3.46491,22.4721,3.6986,233.7,3.0873
27146000,Chicken with BBQ sauce,0.06706,0.00526,0,0,3.70436,24.02505,3.95419,249.85,3.30065
27146000,Chicken with BBQ sauce,0.03774,0.00296,0,0,2.08458,13.5198,2.22517,140.6,1.8574
27146050,Buffalo wing (chicken wing & sauce),0,0,0,0,0.7248,23.37768,0,73.44,1.3488
27146100,Sweet & sour chicken,0.424,0.532,0.52,0,3.128,0,56.64,356,1.64
27146100,Sweet & sour chicken,0.13356,0.16758,0.1638,0,0.98532,0,18.12484,112.14,0.5166
27146100,Sweet & sour chicken,0.265,0.3325,0.325,0,1.955,0,35.4,222.5,1.025
27146150,Chicken curry,0,0.45,0.042,0,3.298,89.334,0,248,2.7
27146150,Chicken curry,0,0.2655,0.02478,0,1.94582,52.7071,0,146.32,1.593
27146150,Chicken curry,0,0.28125,0.02625,0,2.06125,55.83375,0,155,1.6875
27146250,Chicken cordon bleu,0.63433,0.24045,0,0.38701,4.46321,204.55425,2.34496,501.51,15.4804
27146300,Chicken Parmigiana,0.82446,0.22568,0,0.47684,3.05032,59.50854,2.12992,323.96,5.2598
27146300,Chicken Parmigiana,0.72027,0.19716,0,0.41658,2.66484,51.98823,1.86076,283.02,4.5951
27146300,Chicken Parmigiana,0.48018,0.13144,0,0.27772,1.77656,34.65882,1.24051,188.68,3.0634
27146350,Lemon chicken,0.86814,0.01386,0.0378,0.0063,2.13948,110.80314,4.91521,335.16,4.725
27211400,Corned beef hash,0,0.3949,0,0,1.1847,71.28,0,180.4,4.752
27212100,"Beef, tomato sauce & noodles",0.8217,0.41085,0,0,2.9133,2.64438,0,276.39,2.3406
27212350,Beef stroganoff with noodles,1.088,0.32256,0,0,2.26048,97.92,0,343.04,7.3472
27214100,"Meatloaf or meatball, no sauce",0.40608,0.0648,0,0.0648,2.43324,6.32016,0.1026,220.32,4.30488
27214100,"Meatloaf or meatball, no sauce",0.15792,0.0252,0,0.0252,0.94626,2.45784,0.0399,85.68,1.67412
27214100,"Meatloaf or meatball, no sauce",0.10528,0.0168,0,0.0168,0.63084,1.63856,0.0266,57.12,1.11608
27214100,"Meatloaf or meatball, no sauce",0.42638,0.06804,0,0.06804,2.5549,6.63617,0.10773,231.336,4.52012
27214110,Meatloaf or meatballs & tomato sauce,0.41648,0.19043,0,0.06713,2.51806,61.68699,1.71463,239.75,4.6443
27214110,Meatloaf or meatballs & tomato sauce,0.16112,0.07367,0,0.02597,0.97414,23.86431,0.66333,92.75,1.7967
27214110,Meatloaf or meatballs & tomato sauce,0.10944,0.05004,0,0.01764,0.66168,16.20972,0.45056,63,1.2204
